20-76001,http://tshop.r10s.jp/tuzukiya/cabinet/main/t25-1/t25-10346.jpg?fitin=700:700,503.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）,,"【原産国】<br>
JP<br>
【仕様】<br>
■最高使用回転数(rpm):320000<br>
■刃径×刃長×全長:.2×7.0×20.0mm<br>
■粒度:#40<br>
■角度:3.3°<br>
■軸径:.6mm<br>
【重量】<br>
0.2ｇ<br>
【別名】<br>
■研削研磨用品<br>
■ダイヤモンドバー<br>
■ダイヤモンドバー(シャンク径.6mm)<br>
■ダイヤモンドバー<br>
■電着ダイヤモンドバー<br>
（メーカー）トラスコ中山株式会社（TRUSCO NAKAYAMA CORPORATION）",トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドトラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）,トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）[rn]
20-76002,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0584.jpg?fitin=700:700,224.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ 軸付砥石　WA　球型 ＃60 （WA13B）,,"3mm軸先端シリーズ<br>
軸付砥石・ゴム砥石<br>
3mm軸用のストレートグラインダー(ミニルーター)に取り付けて使用するシリーズです。荒削り用から仕上げ用まで、多様な製品が揃っています。<br>
3材質・15種の豊富なラインナップ!<br>
用途<br>
●合金鋼・工具鋼などの生材の研削、バリ取り、面取り等。<br>
梱包形態：シェルパック<br>
形状：球型<br>
砥材/粒度：WA#60<br>
梱包サイズ：56×145<br>
本体サイズ：13×13×3<br><br>
（メーカー）　柳瀬 株式会社（ヤナセ）",ヤナセ 軸付砥石　WA　球型 ＃60 （WA13B）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ 軸付砥石　WA　球型 ＃60 （WA13B）,ヤナセ 軸付砥石　WA　球型 ＃60 （WA13B）[rn]
20-76003,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3359.jpg?fitin=700:700,269.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付砥石　鉄工用 （NO.12(B)）,,"金属研磨に(6mm軸)。<br>
ステンレス・鉄などの削り、工作に。<br>
6mm軸なので、電気ドリル・エアーグラインダーで使用できます。<br>
オーバーハングは15mm以下でご使用ください。<br>
●粒度：WAP60P　軸径6mm　砥石部分：巾38mm　長さ38mm。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付砥石　鉄工用 （NO.12(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付砥石　鉄工用 （NO.12(B)）,SK11 軸付砥石　鉄工用 （NO.12(B)）[rn]
20-76004,http://tshop.r10s.jp/tuzukiya/cabinet/main/t25-1/t25-10429.jpg?fitin=700:700,660.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ ダイヤモンドバー   T1102M,,"【原産国】<br>
JP<br>
【仕様】<br>
■最高使用回転数(rpm):320000<br>
■刃径×刃長×全長:2.2×0.0×20.0mm<br>
■粒度:#40<br>
■角度:0.0°<br>
■軸径:.6mm<br>
【重量】<br>
0.3ｇ<br>
【別名】<br>
■研削研磨用品<br>
■ダイヤモンドバー<br>
■ダイヤモンドバー(シャンク径.6mm)<br>
■ダイヤモンドバー<br>
■電着ダイヤモンドバー<br>
（メーカー）トラスコ中山株式会社（TRUSCO NAKAYAMA CORPORATION）",トラスコ ダイヤモンドバー   T1102M：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドトラスコ ダイヤモンドバー   T1102M,トラスコ ダイヤモンドバー   T1102M[rn]
20-76005,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0425.jpg?fitin=700:700,283.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ ゴム砥石・円筒型 ＃120 （GM257）,,"6mm軸先端シリーズ<br>
軸付砥石・ゴム砥石<br>
ストレートグラインダーや電気ドリルに取り付けて使用するシリーズです。荒研磨から鏡面仕上げまで幅広い分野に使用されています。<br>
ソフトなあたりで、優れた研磨力!<br>
特長<br>
●特殊ゴムに砥粒が配合され、ワークによく馴染みます。<br>
●ソフトな当りで、かつ優れた研磨力があります。<br>
用途<br>
●鉄・ステンレス等、金属の研磨、金型の修正、面取り等。<br>
●超硬合金などの研磨にも適しています。<br>
梱包形態：シェルパック<br>
形状：円筒型<br>",ヤナセ ゴム砥石・円筒型 ＃120 （GM257）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ ゴム砥石・円筒型 ＃120 （GM257）,ヤナセ ゴム砥石・円筒型 ＃120 （GM257）[rn]
20-76006,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0741.jpg?fitin=700:700,160.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ ロビンソンブラシ　ホイール型　黒毛 （S2-156）,,"2.34mm軸先端シリーズ<br>
ブラシ・バフ・フェルト<br>
ミニルーター用の先端パーツシリーズです。細かいワークの研磨や、貴金属の磨きに最適です。<br>
ホイール型が5種、エンド型も4種ご用意!<br>
特長<br>
●良質な線材を使用し製作しており、用途に合わせて形状と毛種をお選びいただけます。<br>
用途<br>
●細かい所の研磨に向いています。<br>
●研磨カスの除去に適しています。<br>
梱包形態：吊り下げ袋<br>
形状：ホイール型<br>
毛種：黒毛<br>",ヤナセ ロビンソンブラシ　ホイール型　黒毛 （S2-156）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ ロビンソンブラシ　ホイール型　黒毛 （S2-156）,ヤナセ ロビンソンブラシ　ホイール型　黒毛 （S2-156）[rn]
20-76007,http://tshop.r10s.jp/tuzukiya/cabinet/main/t25-1/t25-10264.jpg?fitin=700:700,708.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ ダイヤモンドバー　120M  3mm軸 T3120M,,"【原産国】<br>
JP<br>
【仕様】<br>
■最高使用回転数(rpm):05000<br>
■刃径×刃長×全長:.8×0.0×44.5mm<br>
■粒度:#40<br>
■角度:3.7°<br>
■軸径:3mm<br>
【重量】<br>
.9ｇ<br>
【別名】<br>
■研削研磨用品<br>
■ダイヤモンドバー<br>
■ダイヤモンドバー(シャンク径3mm)<br>
■ダイヤモンドバー<br>
■電着ダイヤモンドバー<br>
（メーカー）トラスコ中山株式会社（TRUSCO NAKAYAMA CORPORATION）",トラスコ ダイヤモンドバー　120M  3mm軸 T3120M：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドトラスコ ダイヤモンドバー　120M  3mm軸 T3120M,トラスコ ダイヤモンドバー　120M  3mm軸 T3120M[rn]
20-76008,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3380.jpg?fitin=700:700,344.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付砥石　木工・石材用 （NO.G(B)）,,"石材・木材・超硬合金などの研磨に(6mm軸)。<br>
木材・石材・タイル・鉄・超硬合金などの削り作業に。<br>
6mm軸なので、電気ドリル・エアーグラインダーで使用できます。<br>
オーバーハングは15mm以下でご使用ください。<br>
●粒度：gC80P　軸径6mm　砥石部分：巾38mm　長さ38mm。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付砥石　木工・石材用 （NO.G(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付砥石　木工・石材用 （NO.G(B)）,SK11 軸付砥石　木工・石材用 （NO.G(B)）[rn]
20-76009,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3379.jpg?fitin=700:700,283.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付砥石　木工・石材用 （NO.F(B)）,,"石材・木材・超硬合金などの研磨に(6mm軸)。<br>
木材・石材・タイル・鉄・超硬合金などの削り作業に。<br>
6mm軸なので、電気ドリル・エアーグラインダーで使用できます。<br>
オーバーハングは15mm以下でご使用ください。<br>
●粒度：gC80P　軸径6mm　砥石部分：巾32mm　長さ32mm。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付砥石　木工・石材用 （NO.F(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付砥石　木工・石材用 （NO.F(B)）,SK11 軸付砥石　木工・石材用 （NO.F(B)）[rn]
20-76010,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3350.jpg?fitin=700:700,178.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付砥石　鉄工用 （NO.3(B)）,,"金属研磨に(3mm軸)。<br>
ステンレス・鉄などの削り、工作に。<br>
3mm軸なので、電気ドリル・エアーグラインダー・ミニルーターで使用できます。<br>
オーバーハングは15mm以下でご使用ください。<br>
●粒度：WAP60P　軸径3mm　砥石部分：巾5mm　長さ13mm。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付砥石　鉄工用 （NO.3(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付砥石　鉄工用 （NO.3(B)）,SK11 軸付砥石　鉄工用 （NO.3(B)）[rn]
20-76011,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0426.jpg?fitin=700:700,283.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ ゴム砥石・円筒型 ＃180 （GM259）,,"6mm軸先端シリーズ<br>
軸付砥石・ゴム砥石<br>
ストレートグラインダーや電気ドリルに取り付けて使用するシリーズです。荒研磨から鏡面仕上げまで幅広い分野に使用されています。<br>
ソフトなあたりで、優れた研磨力!<br>
特長<br>
●特殊ゴムに砥粒が配合され、ワークによく馴染みます。<br>
●ソフトな当りで、かつ優れた研磨力があります。<br>
用途<br>
●鉄・ステンレス等、金属の研磨、金型の修正、面取り等。<br>
●超硬合金などの研磨にも適しています。<br>
梱包形態：シェルパック<br>
形状：円筒型<br>",ヤナセ ゴム砥石・円筒型 ＃180 （GM259）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ ゴム砥石・円筒型 ＃180 （GM259）,ヤナセ ゴム砥石・円筒型 ＃180 （GM259）[rn]
20-76012,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-2531.jpg?fitin=700:700,230.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付砥石　木工用　NO.A （331602）,,"木材・石材・超硬合金などの研磨に。<br>
<br>
電気ドリル・エアーグラインダー・ミニルーターでご使用ください。<br>
<br>
●粒度gC80P<br>
　軸径3mm<br>
　砥石部分：巾3Φ　長さ11mm<br>
<br>
ドリルの回転数は30000rpm以下でご使用ください。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付砥石　木工用　NO.A （331602）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付砥石　木工用　NO.A （331602）,SK11 軸付砥石　木工用　NO.A （331602）[rn]
