30-10601,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs05/trs2282780.jpg?fitin=700:700,2378.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●コスト重視の低価格タイプです。●傷に強いです。●遮光度の番手が大きいほど濃くなります。<br><br>【用途】<br>●アーク溶接に。<br><br>【仕様】<br>●縦(mm):50●横(mm):105●遮光度:＃11●摘要:箱入●適合機種:HS、TPW-T、TPW-K、TWHMなど●厚み:3.0mm<br><br>【材質／仕上】<br>●ガラス<br><br>【質量】　752G<br><br>【原産国】　ドイツ<br><br>【2017　オレンジブック掲載】　4 1994　ページ■商品コード：trs2282780　●縦(mm):50●横(mm):105●遮光度:＃11●摘要:箱入●適合機種:HS、TPW-T、TPW-K、TWHMなど●厚み:3.0mm,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC：工具箱　楽天市場店,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC[rn]
30-10602,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs07/trs2731053.jpg?fitin=700:700,7005.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　ホルダー付　５ｍ　TWC225KH,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●アーク溶接機の2次ケーブル（溶接側）として。<br><br>【仕様】<br>●適用電流(A):100～170●使用電線(mm[[の2乗]]):WCT-22●ケーブル(m):5<br><br>【材質／仕上】<br>●導体部:銅線●被覆:導線用天然ゴム<br><br>【セット内容／付属品】<br>●溶接棒ホルダ（TEH-300）●ケーブルジョイント（TKJ-300オス）<br><br>【質量】　2.1KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1947　ページ■商品コード：trs2731053　●適用電流(A):100～170●使用電線(mm[[の2乗]]):WCT-22●ケーブル(m):5,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　ホルダー付　５ｍ　TWC225KH：工具箱　楽天市場店,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　ホルダー付　５ｍ　TWC225KH,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　ホルダー付　５ｍ　TWC225KH[rn]
30-10603,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,380.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　銅パイプスリーブ　１３．８Ｘ４８ｍｍ　５個入　TPL60SQ,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●電線接続用の銅パイプスリーブです。<br><br>【仕様】<br>●サイズ(mm):φ13.8×48●適応商品:TEH-500<br><br>【質量】　35G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1950　ページ■商品コード：trs4026616　●サイズ(mm):φ13.8×48●適応商品:TEH-500,ＴＲＵＳＣＯ　銅パイプスリーブ　１３．８Ｘ４８ｍｍ　５個入　TPL60SQ：工具箱　楽天市場店,ＴＲＵＳＣＯ　銅パイプスリーブ　１３．８Ｘ４８ｍｍ　５個入　TPL60SQ,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　銅パイプスリーブ　１３．８Ｘ４８ｍｍ　５個入　TPL60SQ[rn]
30-10604,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,16685.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　アース付　１０ｍ　TWC3810KE,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●アーク溶接機の2次ケーブル（アース用）として。<br><br>【仕様】<br>●適用電流(A):170～240●使用電線(mm[[の2乗]]):WCT-38●ケーブル(m):10<br><br>【材質／仕上】<br>●導体部:銅線●被覆:導線用天然ゴム<br><br>【セット内容／付属品】<br>●アースクリップ（TEC-300）●ケーブルジョイント（TKJ-300オス）<br><br>【質量】　5.4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1947　ページ■商品コード：trs3523560　●適用電流(A):170～240●使用電線(mm[[の2乗]]):WCT-38●ケーブル(m):10,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　アース付　１０ｍ　TWC3810KE：工具箱　楽天市場店,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　アース付　１０ｍ　TWC3810KE,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　アース付　１０ｍ　TWC3810KE[rn]
30-10605,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,9214.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　キャブタイヤケーブル　アースクリップ丸端子付　５ｍ　TCT3805KE,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●アーク溶接機の2次ケーブル（アース用）として。<br><br>【仕様】<br>●適用電流(A):170～240●使用電線(mm[[の2乗]]):WCT-38●ケーブル(m):5<br><br>【材質／仕上】<br>●導線用天然ゴム・導体<br><br>【セット内容／付属品】<br>●アースクリップ（TEC-300）●φ8丸端子（絶縁キャップ）<br><br>【質量】　2.9KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1947　ページ■商品コード：trs7546769　●適用電流(A):170～240●使用電線(mm[[の2乗]]):WCT-38●ケーブル(m):5,ＴＲＵＳＣＯ　キャブタイヤケーブル　アースクリップ丸端子付　５ｍ　TCT3805KE：工具箱　楽天市場店,ＴＲＵＳＣＯ　キャブタイヤケーブル　アースクリップ丸端子付　５ｍ　TCT3805KE,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　キャブタイヤケーブル　アースクリップ丸端子付　５ｍ　TCT3805KE[rn]
30-10606,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs06/trs2562103.jpg?fitin=700:700,3144.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　アースクランプ　５００Ｇ　TEC500G,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●溶接時のアース接続用です。<br><br>【仕様】<br>●使用電線(mm[[の2乗]]):60～80●溶接電流(A):500-800●全長(mm):175●挟み能力(mm):70●電線接続:ねじ止め●電線接続:ねじ止め<br><br>【セット内容／付属品】<br>●六角棒レンチ●接続銅パイプ<br><br>【質量】　1.12KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1949　ページ■商品コード：trs2562103　●使用電線(mm[[の2乗]]):60～80●溶接電流(A):500-800●全長(mm):175●挟み能力(mm):70●電線接続:ねじ止め●電線接続:ねじ止め,ＴＲＵＳＣＯ　アースクランプ　５００Ｇ　TEC500G：工具箱　楽天市場店,ＴＲＵＳＣＯ　アースクランプ　５００Ｇ　TEC500G,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　アースクランプ　５００Ｇ　TEC500G[rn]
30-10607,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,9455.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　キャブタイヤケーブル　２次側線　ジョイント付　５ｍ　TWC385WJ,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩擦などに強く、特に耐電圧特性に非常に優れています。●両端ジョイント付ですので、使用状況に応じた延長が可能です。<br><br>【用途】<br>●アーク溶接機ジョイント付ホルダ・アースクリップの延長ケーブルとして。<br><br>【仕様】<br>●適用電流(A):170～240●使用電線(mm[[の2乗]]):WCT-38●ケーブル(m):5<br><br>【材質／仕上】<br>●導体部:銅線●被覆:導線用天然ゴム<br><br>【セット内容／付属品】<br>●両端ジョイント（TKJ-300）<br><br>【質量】　5KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1948　ページ■商品コード：trs3523616　●適用電流(A):170～240●使用電線(mm[[の2乗]]):WCT-38●ケーブル(m):5,ＴＲＵＳＣＯ　キャブタイヤケーブル　２次側線　ジョイント付　５ｍ　TWC385WJ：工具箱　楽天市場店,ＴＲＵＳＣＯ　キャブタイヤケーブル　２次側線　ジョイント付　５ｍ　TWC385WJ,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　キャブタイヤケーブル　２次側線　ジョイント付　５ｍ　TWC385WJ[rn]
30-10608,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs21/trs4026624.jpg?fitin=700:700,435.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　銅パイプスリーブ　１０Ｘ２６ｍｍ　１０個入　TPS22SQ,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●電線接続用の銅パイプスリーブです。<br><br>【仕様】<br>●サイズ(mm):φ10×26●適応商品:TKJ-300/HW-SK<br><br>【質量】　29G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1950　ページ■商品コード：trs4026624　●サイズ(mm):φ10×26●適応商品:TKJ-300/HW-SK,ＴＲＵＳＣＯ　銅パイプスリーブ　１０Ｘ２６ｍｍ　１０個入　TPS22SQ：工具箱　楽天市場店,ＴＲＵＳＣＯ　銅パイプスリーブ　１０Ｘ２６ｍｍ　１０個入　TPS22SQ,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　銅パイプスリーブ　１０Ｘ２６ｍｍ　１０個入　TPS22SQ[rn]
30-10609,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,9324.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　溶接機用ケ－ブル　１次側　１０ｍ　TWC8010,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに十分な強みを発揮し、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●主としてアーク溶接機の1次側ケーブルとして。<br><br>【仕様】<br>●適用電流(A):51●使用電線(mm[[の2乗]]):2CT2C×8.0●ケーブル(m):10●溶接機定格入力(kW):5.5●溶接機定格入力(kVA):11.0●溶接機用接続ケーブル1次側2芯●φ8丸端子付<br><br>【材質／仕上】<br>●導体部:銅線●被覆:導線用天然ゴム<br><br>【セット内容／付属品】<br>●なし<br><br>【質量】　4.4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1948　ページ■商品コード：trs2561760　●適用電流(A):51●使用電線(mm[[の2乗]]):2CT2C×8.0●ケーブル(m):10●溶接機定格入力(kW):5.5●溶接機定格入力(kVA):11.0●溶接機用接続ケーブル1次側2芯●φ8丸端子付,ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　１０ｍ　TWC8010：工具箱　楽天市場店,ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　１０ｍ　TWC8010,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　１次側　１０ｍ　TWC8010[rn]
30-10610,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,10531.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　アース付　５ｍ　TWC385KE,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●アーク溶接機の2次ケーブル（アース用）として。<br><br>【仕様】<br>●適用電流(A):170～240●使用電線(mm[[の2乗]]):WCT-38●ケーブル(m):5<br><br>【材質／仕上】<br>●導体部:銅線●被覆:導線用天然ゴム<br><br>【セット内容／付属品】<br>●アースクリップ（TEC-300）●ケーブルジョイント（TKJ-300オス）<br><br>【質量】　3.1KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1947　ページ■商品コード：trs3523594　●適用電流(A):170～240●使用電線(mm[[の2乗]]):WCT-38●ケーブル(m):5,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　アース付　５ｍ　TWC385KE：工具箱　楽天市場店,ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　アース付　５ｍ　TWC385KE,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　キャブタイヤケーブル２次側線　アース付　５ｍ　TWC385KE[rn]
30-10611,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs11/trs3272753.jpg?fitin=700:700,10676.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　溶接用ケーブル　１次側　５ｍ　TWC1405,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに十分な強みを発揮し、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●主としてアーク溶接機の1次側ケーブルとして。<br><br>【仕様】<br>●適用電流(A):71●使用電線(mm[[の2乗]]):2CT2C×14.0●ケーブル(m):5●溶接機定格入力(kW):10.5●溶接機定格入力(kVA):17.6●溶接機用接続ケーブル1次側2芯●φ8丸端子付<br><br>【材質／仕上】<br>●導体部:銅線●被覆:導線用天然ゴム<br><br>【セット内容／付属品】<br>●なし<br><br>【質量】　3.5KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1948　ページ■商品コード：trs3272753　●適用電流(A):71●使用電線(mm[[の2乗]]):2CT2C×14.0●ケーブル(m):5●溶接機定格入力(kW):10.5●溶接機定格入力(kVA):17.6●溶接機用接続ケーブル1次側2芯●φ8丸端子付,ＴＲＵＳＣＯ　溶接用ケーブル　１次側　５ｍ　TWC1405：工具箱　楽天市場店,ＴＲＵＳＣＯ　溶接用ケーブル　１次側　５ｍ　TWC1405,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　溶接用ケーブル　１次側　５ｍ　TWC1405[rn]
