30-10901,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,15560.0000,,花・ガーデン・DIY > DIY・工具 > その他,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ニッチ</b><br><br>【特長】<br>●ハンドチェーンと減速歯車を介して、より小さな人力で横行可能です。<br><br>【仕様】<br>●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用<br><br><font color=red>【注意】<br>●手動チェンブロック(H-50A形)の上フックを掛けてご使用ください。●手動チェンブロック(H-50A形)と直結する場合はご相談ください。●電気チェンブロックにはご使用できません。</font>●電気チェンブロックにご使用の場合はご相談ください。</font><br><br>【質量】　12KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2779　ページ≪メーカー在庫品≫■商品コード：trs4576080　●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用,ニッチ　ギヤードトロリ　１．０ｔ　GT5010：工具箱　楽天市場店,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載。ニッチ　ギヤードトロリ　１．０ｔ　GT5010[rn]
30-10902,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs07/trs2836009.jpg?fitin=700:700,512.8000,,花・ガーデン・DIY > DIY・工具 > その他,象印　ツリカナグＢ（メッセンジャーワイヤー用）　YTM000,【業務用】 オレンジブック2017掲載,<b>メーカー／象印チェンブロック（株）</b><br><br>【特長】<br>●強化プラスチック製で耐久性に優れています。<br><br>【仕様】<br>●タイプ:吊り金具B●適用ワイヤー径(mm):4～12<br><br>【質量】　80G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2780　ページ■商品コード：trs2836009　●タイプ:吊り金具B●適用ワイヤー径(mm):4～12,象印　ツリカナグＢ（メッセンジャーワイヤー用）　YTM000：工具箱　楽天市場店,象印　ツリカナグＢ（メッセンジャーワイヤー用）　YTM000,【業務用】 オレンジブック2017掲載。象印　ツリカナグＢ（メッセンジャーワイヤー用）　YTM000[rn]
30-10903,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs19/trs3902439.jpg?fitin=700:700,2619.2000,,花・ガーデン・DIY > DIY・工具 > その他,象印　Ｇ－１ｔ用ギヤローラーセット　YG010009,【業務用】 オレンジブック2017掲載,<b>メーカー／象印チェンブロック（株）</b><br><br>【仕様】<br>●適合機種:G-01025●品名:ギヤローラーセット<br><br>【質量】　1KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2779　ページ■商品コード：trs3902439　●適合機種:G-01025●品名:ギヤローラーセット,象印　Ｇ&minus;１ｔ用ギヤローラーセット　YG010009：工具箱　楽天市場店,象印　Ｇ&minus;１ｔ用ギヤローラーセット　YG010009,【業務用】 オレンジブック2017掲載。象印　Ｇ&minus;１ｔ用ギヤローラーセット　YG010009[rn]
30-10904,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3702723.jpg?fitin=700:700,21633.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　２０Ａ　（引掛け）　AP302ML,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●複数の機器を同時に使用できるので作業効率がアップします。●油やホコリの浸入を防ぐコンセントキャップ付です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様●アース付<br><br>【質量】　10.2KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2438　ページ■商品コード：trs3702723　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様●アース付,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　２０Ａ　（引掛け）　AP302ML：工具箱　楽天市場店,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　２０Ａ　（引掛け）　AP302ML,【業務用】 オレンジブック2017掲載。ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　２０Ａ　（引掛け）　AP302ML[rn]
30-10905,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1054392.jpg?fitin=700:700,22701.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　三相２００Ｖ型コードリール　３．５スケア電線　３０ｍ　アース付　LP332M,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●複数の機器を同時に使用できるので作業効率がアップします。●油やホコリの浸入を防ぐコンセントキャップ付です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):3.5●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様●アース付<br><br>【質量】　14.8<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2438　ページ■商品コード：trs1054392　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):3.5●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様●アース付,ハタヤ　三相２００Ｖ型コードリール　３．５スケア電線　３０ｍ　アース付　LP332M：工具箱　楽天市場店,ハタヤ　三相２００Ｖ型コードリール　３．５スケア電線　３０ｍ　アース付　LP332M,【業務用】 オレンジブック2017掲載。ハタヤ　三相２００Ｖ型コードリール　３．５スケア電線　３０ｍ　アース付　LP332M[rn]
30-10906,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs11/trs3272541.jpg?fitin=700:700,36961.6000,,花・ガーデン・DIY > DIY・工具 > その他,日動　電工ドラム　防雨防塵型三相２００Ｖ　アース過負荷漏電しゃ断器付　３０ｍ　DNWEK33020A,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●防雨・防じん構造のため、野外作業に最適です。●アース付・ブレーカー付で安全です。<br><br>【用途】<br>●工場・発電所・プラント設備・建設工事。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:-●プラグ形状:防雨4P20A アース付250V●三相200V●電線種:SVCT●限度電流:19A●ケーブルとドラムを同時に止める「ドラムストッパー」付●ブレーカー付●コンセント形状:キャップ付防雨4P20A●電源ランプ付●漏電保護専用15mA感度(EBタイプ)●過負荷漏電保護兼用(EKタイプ)●アース付<br><br><font color=red>【注意】<br>●屋外使用の際、接続する機器側のプラグも規定の防水プラグを使用して下さい。（形状が合わない場合、防雨・防塵になりません）</font><br><br>【質量】　9.7KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs3272541　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:-●プラグ形状:防雨4P20A アース付250V●三相200V●電線種:SVCT●限度電流:19A●ケーブルとドラムを同時に止める「ドラムストッパー」付●ブレーカー付●コンセント形状:キャップ付防雨4P20A●電源ランプ付●漏電保護専用15mA感度(EBタイプ)●過負荷漏電保護兼用(EKタイプ)●アース付,日動　電工ドラム　防雨防塵型三相２００Ｖ　アース過負荷漏電しゃ断器付　３０ｍ　DNWEK33020A：工具箱　楽天市場店,日動　電工ドラム　防雨防塵型三相２００Ｖ　アース過負荷漏電しゃ断器付　３０ｍ　DNWEK33020A,【業務用】 オレンジブック2017掲載。日動　電工ドラム　防雨防塵型三相２００Ｖ　アース過負荷漏電しゃ断器付　３０ｍ　DNWEK33020A[rn]
30-10907,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,25134.4000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　三相２００Ｖ型コードリール　５０ｍ　アース付　LP502M,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●複数の機器を同時に使用できるので作業効率がアップします。●油やホコリの浸入を防ぐコンセントキャップ付です。<br><br>【仕様】<br>●電線仕様長さ(m):50●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様●アース付<br><br>【質量】　14.6<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2438　ページ■商品コード：trs1054384　●電線仕様長さ(m):50●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様●アース付,ハタヤ　三相２００Ｖ型コードリール　５０ｍ　アース付　LP502M：工具箱　楽天市場店,ハタヤ　三相２００Ｖ型コードリール　５０ｍ　アース付　LP502M,【業務用】 オレンジブック2017掲載。ハタヤ　三相２００Ｖ型コードリール　５０ｍ　アース付　LP502M[rn]
30-10908,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1055062.jpg?fitin=700:700,24380.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　三相２００Ｖ型ブレーカーリール　２０ｍ　アース付　２０Ａ　BR202M,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●電圧ドロップが小さいので機器の安定したパワーが得られます。●複数の機器を同時に使用できるので作業効率がアップします。●油やホコリの浸入を防ぐコンセントキャップ付です。<br><br>【仕様】<br>●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセントキャップ付●漏電地絡保護専用●アース付<br><br>【質量】　8.2KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2438　ページ■商品コード：trs1055062　●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセントキャップ付●漏電地絡保護専用●アース付,ハタヤ　三相２００Ｖ型ブレーカーリール　２０ｍ　アース付　２０Ａ　BR202M：工具箱　楽天市場店,ハタヤ　三相２００Ｖ型ブレーカーリール　２０ｍ　アース付　２０Ａ　BR202M,【業務用】 オレンジブック2017掲載。ハタヤ　三相２００Ｖ型ブレーカーリール　２０ｍ　アース付　２０Ａ　BR202M[rn]
30-10909,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1054376.jpg?fitin=700:700,17409.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　AP302M,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●複数の機器を同時に使用できるので作業効率がアップします。●油やホコリの浸入を防ぐコンセントキャップ付です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様●アース付<br><br>【質量】　10.2KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2438　ページ■商品コード：trs1054376　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様●アース付,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　AP302M：工具箱　楽天市場店,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　AP302M,【業務用】 オレンジブック2017掲載。ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　AP302M[rn]
30-10910,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3703517.jpg?fitin=700:700,1764.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　カラリール　J1,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●各種コード・ケーブル・ホースなどの巻き取りに最適です。<br><br>【仕様】<br>●本体寸法幅×奥行×高さ(mm):224×145×278●外径φ10巻取容量(m):12●巻取制限重量(kg):1.6●一次側継手:-●二次側継手:-<br><br><font color=red>【注意】<br>●機種ごとに巻き取り制限重量があります。</font><br><br>【質量】　1.4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs3703517　●本体寸法幅×奥行×高さ(mm):224×145×278●外径φ10巻取容量(m):12●巻取制限重量(kg):1.6●一次側継手:-●二次側継手:-,ハタヤ　カラリール　J1：工具箱　楽天市場店,ハタヤ　カラリール　J1,【業務用】 オレンジブック2017掲載。ハタヤ　カラリール　J1[rn]
30-10911,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3703622.jpg?fitin=700:700,7153.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　カラリール　L1,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●各種コード・ケーブル・ホースなどの巻き取りに最適です。<br><br>【仕様】<br>●本体寸法幅×奥行×高さ(mm):260×240×410●外径φ10巻取容量(m):84●巻取制限重量(kg):8.0●一次側継手:-●二次側継手:-<br><br><font color=red>【注意】<br>●機種ごとに巻き取り制限重量があります。</font><br><br>【質量】　3.8<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs3703622　●本体寸法幅×奥行×高さ(mm):260×240×410●外径φ10巻取容量(m):84●巻取制限重量(kg):8.0●一次側継手:-●二次側継手:-,ハタヤ　カラリール　L1：工具箱　楽天市場店,ハタヤ　カラリール　L1,【業務用】 オレンジブック2017掲載。ハタヤ　カラリール　L1[rn]
30-10912,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3704416.jpg?fitin=700:700,12638.4000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　カラリール　SP1,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●各種コード・ケーブル・ホースなどの巻き取りに最適です。<br><br>【仕様】<br>●本体寸法幅×奥行×高さ(mm):375×297×506●外径φ10巻取容量(m):142●巻取制限重量(kg):20.0●一次側継手:-●二次側継手:-<br><br><font color=red>【注意】<br>●機種ごとに巻き取り制限重量があります。</font><br><br>【質量】　7.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs3704416　●本体寸法幅×奥行×高さ(mm):375×297×506●外径φ10巻取容量(m):142●巻取制限重量(kg):20.0●一次側継手:-●二次側継手:-,ハタヤ　カラリール　SP1：工具箱　楽天市場店,ハタヤ　カラリール　SP1,【業務用】 オレンジブック2017掲載。ハタヤ　カラリール　SP1[rn]
