30-52987,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000107_001.jpg?fitin=700:700,1267.2000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】HF250X一般形水銀ランプE39　4100K　拡散形【返品種別B】,,"HF250X<br>　<br>●　定格電圧：　130V<br>●　消費電力：　250W<br>●　全光束：　12800lm<br>●　定格寿命：　12000時間<br>●　色温度：　4100K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約3～6分。再始動時間は約10分です。<br>
・屋外では水漏れのしない器具との組み合わせでご使用ください。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】HF250X一般形水銀ランプE39　4100K　拡散形【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】HF250X一般形水銀ランプE39　4100K　拡散形【返品種別B】,【日立】HF250X一般形水銀ランプE39　4100K　拡散形【返品種別B】[rn]
30-52988,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000077_001.jpg?fitin=700:700,5745.6000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】MF400・L/U-A[MF400LUA]メタルハライドランプ(一般形メタルハライド・L)拡散形【返品種別B】,,"MF400LUA<br>　<br>●　定格電圧：　130V<br>●　消費電力：　400W<br>●　全光束：　38000lm/33000lm<br>●　定格寿命：　12000時間<br>●　色温度：　4200K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約4分。再始動時間は約15分です。（L-Cタイプの再始動時間は約25分）<br>
・雨や水滴のかかる状態や湿度の高い所では、使用しないでください。破損の原因となることがあります。<br>
・「/U」タイプの全光束上段は垂直時の値で、下段は水平点灯時の値です。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】MF400・L/U-A[MF400LUA]メタルハライドランプ(一般形メタルハライド・L)拡散形【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】MF400・L/U-A[MF400LUA]メタルハライドランプ(一般形メタルハライド・L)拡散形【返品種別B】,【日立】MF400・L/U-A[MF400LUA]メタルハライドランプ(一般形メタルハライド・L)拡散形【返品種別B】[rn]
30-52989,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000140_001.jpg?fitin=700:700,2263.2000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】HRF400X反射形蛍光水銀ランプレフ形　E39　4100K【返品種別B】,,"HRF400X<br>　<br>●　定格電圧：　130V<br>●　消費電力：　400W<br>●　全光束：　12900lm<br>●　定格寿命：　12000時間<br>●　色温度：　4100K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約3～6分、再始動時間は約10分です。<br>
・屋外で使用できます。ただし、口金部に水滴がかからない構造の器具を使用してください。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】HRF400X反射形蛍光水銀ランプレフ形　E39　4100K【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】HRF400X反射形蛍光水銀ランプレフ形　E39　4100K【返品種別B】,【日立】HRF400X反射形蛍光水銀ランプレフ形　E39　4100K【返品種別B】[rn]
30-52990,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000157_001.jpg?fitin=700:700,6538.4000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】NH220F･L[NH220FL]ルミセラム・L　2050K　E39高圧ナトリウムランプ【返品種別B】,,"NH220FL<br>　<br>●　定格電圧：　130V<br>●　消費電力：　220W<br>●　全光束：　25000lm<br>●　定格寿命：　24000時間<br>●　色温度：　2050K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約6分、再始動時間は約15分です。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】NH220F･L[NH220FL]ルミセラム・L　2050K　E39高圧ナトリウムランプ【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】NH220F･L[NH220FL]ルミセラム・L　2050K　E39高圧ナトリウムランプ【返品種別B】,【日立】NH220F･L[NH220FL]ルミセラム・L　2050K　E39高圧ナトリウムランプ【返品種別B】[rn]
30-52991,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000088_001.jpg?fitin=700:700,4043.2000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】M300L-B/BU-P[M300LBBUP]（透明形） メタルハライドランプ口金下上向点灯【返品種別B】,,"M300LBBUP<br>　<br>●　定格電圧：　130V<br>●　消費電力：　300W<br>●　全光束：　27000lm<br>●　定格寿命：　12000時間<br>●　色温度：　4500K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約4分、再始動時間は約15分です。<br>
・雨や水滴のかかる状態や湿度の高い所では、使用しないでください。破損の原因となることがあります。<br>
・密閉形器具の場合はフッ素樹脂膜の効果がなくなりますので、一般形のランプをご使用ください（100Wを除く）。<br>
・フッ素樹脂膜は傷をつけないようご注意ください。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】M300L-B/BU-P[M300LBBUP]（透明形） メタルハライドランプ口金下上向点灯【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】M300L-B/BU-P[M300LBBUP]（透明形） メタルハライドランプ口金下上向点灯【返品種別B】,【日立】M300L-B/BU-P[M300LBBUP]（透明形） メタルハライドランプ口金下上向点灯【返品種別B】[rn]
30-52992,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000075_001.jpg?fitin=700:700,4112.8000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】MF400L-B/BU-P[MF400LBBUP]メタルハライドランプ(フッ素樹脂膜付メタルハライド・L)破損時のガラス飛散が少ないランプ拡散形【返品種別B】,,"MF400LBBUP<br>　<br>●　定格電圧：　130V<br>●　消費電力：　400W<br>●　全光束：　42000lm<br>●　定格寿命：　12000時間<br>●　色温度：　4200K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約4分、再始動時間は約15分です。<br>
・雨や水滴のかかる状態や湿度の高い所では、使用しないでください。破損の原因となることがあります。<br>
・密閉形器具の場合はフッ素樹脂膜の効果がなくなりますので、一般形のランプをご使用ください（100Wを除く）。<br>
・フッ素樹脂膜は傷をつけないようご注意ください。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】MF400L-B/BU-P[MF400LBBUP]メタルハライドランプ(フッ素樹脂膜付メタルハライド・L)破損時のガラス飛散が少ないランプ拡散形【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】MF400L-B/BU-P[MF400LBBUP]メタルハライドランプ(フッ素樹脂膜付メタルハライド・L)破損時のガラス飛散が少ないランプ拡散形【返品種別B】,【日立】MF400L-B/BU-P[MF400LBBUP]メタルハライドランプ(フッ素樹脂膜付メタルハライド・L)破損時のガラス飛散が少ないランプ拡散形【返品種別B】[rn]
30-52993,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000069_001.jpg?fitin=700:700,4043.2000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】MF250L-B/BD-P[MF250LBBDP]（拡散形） メタルハライドランプ口金下向点灯【返品種別B】,,"MF250LBBDP<br>　<br>●　定格電圧：　130V<br>●　消費電力：　250W<br>●　全光束：　20000lm<br>●　定格寿命：　12000時間<br>●　色温度：　4200K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約4分、再始動時間は約15分です。<br>
・雨や水滴のかかる状態や湿度の高い所では、使用しないでください。破損の原因となることがあります。<br>
・密閉形器具の場合はフッ素樹脂膜の効果がなくなりますので、一般形のランプをご使用ください（100Wを除く）。<br>
・フッ素樹脂膜は傷をつけないようご注意ください。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】MF250L-B/BD-P[MF250LBBDP]（拡散形） メタルハライドランプ口金下向点灯【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】MF250L-B/BD-P[MF250LBBDP]（拡散形） メタルハライドランプ口金下向点灯【返品種別B】,【日立】MF250L-B/BD-P[MF250LBBDP]（拡散形） メタルハライドランプ口金下向点灯【返品種別B】[rn]
30-52994,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000707_001.jpg?fitin=700:700,8708.8000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】NH360･L[NH360L]ルミセラム・L　2050K　E39高圧ナトリウムランプ【返品種別B】,,"NH360L<br>　<br>●　定格電圧：　130V<br>●　消費電力：　360W<br>●　全光束：　47500lm<br>●　定格寿命：　24000時間<br>●　色温度：　2050K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約6分、再始動時間は約15分です。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】NH360･L[NH360L]ルミセラム・L　2050K　E39高圧ナトリウムランプ【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】NH360･L[NH360L]ルミセラム・L　2050K　E39高圧ナトリウムランプ【返品種別B】,【日立】NH360･L[NH360L]ルミセラム・L　2050K　E39高圧ナトリウムランプ【返品種別B】[rn]
30-52995,http://tshop.r10s.jp/onolighting/cabinet/hid/hitachi/10000106_001.jpg?fitin=700:700,1212.0000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【日立】HF200X一般形水銀ランプE39　4100K　拡散形【返品種別B】,,"HF200X<br>　<br>●　定格電圧：　120V<br>●　消費電力：　200W<br>●　全光束：　9900lm<br>●　定格寿命：　12000時間<br>●　色温度：　4100K<br>●　口金：　E39



<br>......................................................................<br>
【注意】<br>
・安定時間は約3～6分。再始動時間は約10分です。<br>
・屋外では水漏れのしない器具との組み合わせでご使用ください。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【日立】HF200X一般形水銀ランプE39　4100K　拡散形【返品種別B】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【日立】HF200X一般形水銀ランプE39　4100K　拡散形【返品種別B】,【日立】HF200X一般形水銀ランプE39　4100K　拡散形【返品種別B】[rn]
30-52996,http://tshop.r10s.jp/onolighting/cabinet/hid/philips/15000288_001.jpg?fitin=700:700,4536.0000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【PHILIPS】CDM-Rm Elite 35W/930 40°ﾏｽﾀｰｶﾗｰＣＤＭ－Ｒﾐﾆ　35Wφ50mmﾘﾌﾚｸﾀｰ付きﾐﾆﾀｲﾌﾟ（GX10)3000ｹﾙﾋﾞﾝ【返品種別A】,,"CDMRmElite35W93040<br><br>●　点灯方向：　任意<br>●　定格電力：　35W<br>●　ビーム角：　40°<br>●　ビーム光束：　2400lm<br>●　最大光度：　4400cd<br>●　色温度：　3000K<br>●　平均寿命：　12000時間<br>●　口金：　GX10



<br>......................................................................<br>
【注意事項】<br>
・ランプ自身にフロントガラスを装備しているので器具の前面ガラスが不要です。<br>
・必ず電子安定器をお使いください。<br><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【PHILIPS】CDM-Rm Elite 35W/930 40&deg;ﾏｽﾀｰｶﾗｰＣＤＭ&minus;Ｒﾐﾆ　35Wφ50mmﾘﾌﾚｸﾀｰ付きﾐﾆﾀｲﾌﾟ（GX10)3000ｹﾙﾋﾞﾝ【返品種別A】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【PHILIPS】CDM-Rm Elite 35W/930 40&deg;ﾏｽﾀｰｶﾗｰＣＤＭ&minus;Ｒﾐﾆ　35Wφ50mmﾘﾌﾚｸﾀｰ付きﾐﾆﾀｲﾌﾟ（GX10)3000ｹﾙﾋﾞﾝ【返品種別A】,【PHILIPS】CDM-Rm Elite 35W/930 40&deg;ﾏｽﾀｰｶﾗｰＣＤＭ&minus;Ｒﾐﾆ　35Wφ50mmﾘﾌﾚｸﾀｰ付きﾐﾆﾀｲﾌﾟ（GX10)3000ｹﾙﾋﾞﾝ【返品種別A】[rn]
30-52997,http://tshop.r10s.jp/onolighting/cabinet/hid/philips/15000072_001.jpg?fitin=700:700,2448.8000,,インテリア・寝具・収納 > ライト・照明 > 蛍光灯・電球 > その他,【PHILIPS】CDM-TC35W/830[CDMTC35W830]マスターカラーＣＤＭ－ＴＣ　細管タイプ（片口金Ｇ８．５）３０００ケルビン【返品種別A】,,"<table width=""880px"">
    <tr>
        <td style=""text-align:center;"">
            <hr style=""border-top:2px dotted #666; width:700px;"">
            <h3 style=""text-align:left;text-indent:150px; padding-top:10px;"">■特長</h3>
            <ul style=""text-align:left; margin-left:auto; margin-right:auto; width:550px; padding-bottom:10px;"">
                <li>輝度感のある白い光</li>
                <li>バランスのとれた分光分布</li>
                <li>省エネルギーで少ない発熱量</li>
                <li>コンパクトサイズ（全長85mm）のランプ</li>
                <li>UVブロックガラスの採用により、紫外線による商品の劣化を軽減</li>
            </ul>
            <hr style=""border-top:2px dotted #666; width:700px;""><br>
        </td>
    </tr>
    <tr>
        <td>
            <h2 style=""margin-bottom:0px; text-align:center;"">MASTERColor CDM-TC<br>■細管タイプ 片口金G8.5 高効率セラミックメタルハライドランプ</h2>
            
            <ul style=""text-align:left; margin-top:0px;"">
                <li>記載されている仕様特性は100時間点灯時点の値を基準にしています。</li>
                <li>前面ガラス付きの器具でお使いください。</li>
                <li>必ず専用電子安定器をお使いください。</li>
                <li>ヨーロッパRoHS規制準拠。</li>
            </ul>
        </td>
    </tr> 
</table><div align=""center"">
<table width=""880px"">
	<tr>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/hitachi-vlj.jpg"" width=""436px"">
        </td>
    	<td colspan=""3"" style=""padding-bottom:10px;"">
        <img src=""https://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/masterled-tube.jpg"" width=""436px"">
        </td>
	</tr>
    <tr>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/vintage_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/denkyugata_bana.jpg?123"">
        </td>
        <td colspan=""2"">
        <img src=""http://image.rakuten.co.jp/onolighting/cabinet/top_img/02022400/led_bana.jpg?123"">
        </td>
    </tr>
    </table>
</div>",【PHILIPS】CDM-TC35W/830[CDMTC35W830]マスターカラーＣＤＭ&minus;ＴＣ　細管タイプ（片口金Ｇ８．５）３０００ケルビン【返品種別A】：オノライティング　楽天市場店,電球蛍光灯ハロゲン電球HID高輝度放電灯LED電球LED　ハロゲン代替ミニチュア球豆球蛍光灯　ケースナツメ球店舗　照明住宅　照明LED　ミニレフブラックライトスタジオハロゲンバラストレス水銀灯LED　KRスリムランプ【PHILIPS】CDM-TC35W/830[CDMTC35W830]マスターカラーＣＤＭ&minus;ＴＣ　細管タイプ（片口金Ｇ８．５）３０００ケルビン【返品種別A】,【PHILIPS】CDM-TC35W/830[CDMTC35W830]マスターカラーＣＤＭ&minus;ＴＣ　細管タイプ（片口金Ｇ８．５）３０００ケルビン【返品種別A】[rn]
